id,hash,ignored,data,files
3,26575138,false,,[2]
4,7137201,false,,[2]
5,9049119,false,,[2]
6,6720426,false,,[2]
7,4211296,false,,[2]
8,1307722,false,,[2]
9,3562561,false,,[2]
10,3456231,false,,[2]
11,2610541,false,,[2]
12,396245,false,,[2]
13,1195249,false,,[2]
14,2250881,false,,[2]
15,4433121,false,,"[2,0]"
16,5016407,false,,"[2,0]"
17,344322,false,,"[2,0]"
18,1148146,false,,[2]
19,3801147,false,,[2]
20,2348699,false,,[2]
21,1120975,false,,[2]
22,666849,false,,[2]
23,1986475,false,,[2]
24,245270,false,,[2]
25,1356965,false,,[2]
26,2133857,false,,[2]
27,2403398,false,,[2]
28,2807515,false,,[2]
29,5612663,false,,[2]
30,899049,false,,"[2,1]"
31,2557567,false,,"[2,0]"
32,2833008,false,,[2]
33,1125187,false,,[2]
34,634282,false,,[2]
35,7151941,false,,"[2,1]"
36,5715578,false,,"[2,1]"
37,2356464,false,,"[2,1]"
38,853897,false,,"[2,1]"
39,349000,false,,"[2,1]"
40,1732224,false,,[2]
41,3370410,false,,[2]
42,1579717,false,,[2]
43,9720556,false,,[0]
44,136078,false,,[0]
45,4602056,false,,[0]
46,3031656,false,,[0]
47,1028179,false,,[0]
48,1814389,false,,"[0,1]"
49,2408017,false,,[0]
50,680332,false,,[0]
51,3480261,false,,[0]
52,1049138,false,,[0]
53,1234876,false,,[0]
54,2916005,false,,[0]
55,261167,false,,[0]
56,217524,false,,[0]
57,406953,false,,[0]
58,1542889,false,,[0]
59,776494,false,,[0]
60,2801176,false,,"[0,1]"
61,1929086,false,,"[0,1]"
62,397759,false,,"[0,1]"
63,6844090,false,,"[0,1]"
64,3770050,false,,"[0,1]"
65,2175541,false,,"[0,1]"
66,49947,false,,"[0,1]"
67,6071315,false,,[1]
68,5164584,false,,[1]
69,833303,false,,[1]
70,1320902,false,,[1]
71,4746487,false,,[1]
72,3382505,false,,[1]
73,4232875,false,,[1]
74,6952713,false,,[1]
75,3888021,false,,[1]
76,564311,false,,[1]
77,3140054,false,,[1]
78,2846689,false,,[1]
79,1286422,false,,[1]
80,1913301,false,,[1]
81,392670,false,,[1]
82,1395028,false,,[1]
83,1867486,false,,[1]
84,3426407,false,,[1]
85,5450606,false,,[1]
86,2617169,false,,[1]
87,401652,false,,[1]
88,29305,false,,[1]
89,3681327,false,,[1]
90,1097927,false,,[1]
91,7076854,false,,[1]
